11962,GUSTAVO A MADERO,NUEVA ATZACOALCO,5
12116,IZTACALCO,AGRICOLA ORIENTAL,9
11513,BENITO JUÁREZ,ALAMOS,1
12161,IZTAPALAPA,CENTRAL DE ABASTOS,2
11813,CUAUHTÉMOC,SANTA MARIA LA RIBERA,4
11845,GUSTAVO A MADERO,MARTIN CARRERA,2
12649,TLÁHUAC,AMPL SELENE,1
11629,COYOACÁN,PEDREGAL DE SANTO DOMINGO,10
12354,IZTAPALAPA,PARAJE SAN JUAN 2DA AMPL,1
12865,TLALPAN,SAN MIGUEL TOPILEJO,5
11238,ÁLVARO OBREGÓN,MOLINO DE ROSAS,1
11825,CUAUHTÉMOC,TRANSITO,2
12537,MIGUEL HIDALGO,OBSERVATORIO,2
11923,GUSTAVO A MADERO,LA PASTORA,1
12961,VENUSTIANO CARRANZA,MOCTEZUMA 2DA SECC,3
12041,GUSTAVO A MADERO,GUADALUPE TEPEYAC,1
12916,VENUSTIANO CARRANZA,IGNACIO ZARAGOZA,1
11822,CUAUHTÉMOC,ROMA SUR,9
11998,GUSTAVO A MADERO,PROGRESO NACIONAL,2
12144,IZTACALCO,MILITAR MARTE,3
12513,MIGUEL HIDALGO,IRRIGACION,1
11832,CUAUHTÉMOC,UNIDAD HAB NONOALCO TLATELOLCO,2
12765,TLALPAN,GABRIEL RAMOS MILLAN,1
11648,COYOACÁN,AVANTE,1
11232,ÁLVARO OBREGÓN,MIXCOAC,1
11835,GUSTAVO A MADERO,SANTA ISABEL TOLA,1
12893,TLALPAN,SAN MIGUEL AJUSCO,3
11224,ÁLVARO OBREGÓN,OLIVAR DEL CONDE 3RA SECC,1
12169,IZTAPALAPA,HEROES DE CHURUBUSCO,2
11647,COYOACÁN,EL CENTINELA,1
11297,ÁLVARO OBREGÓN,LOMAS DE TARANGO,1
12856,TLALPAN,MAGDALENA PETLACALCO,3
12058,GUSTAVO A MADERO,NUEVA TENOCHTITLAN,3
11924,GUSTAVO A MADERO,LINDAVISTA,4
12035,GUSTAVO A MADERO,ESTRELLA,1
12156,IZTAPALAPA,BARRIO SANTA BARBARA,2
12254,IZTAPALAPA,PUEBLO SANTA MARTHA ACATITLA,2
12251,IZTAPALAPA,Z URB EJ STA MARIA AZTAHUACAN,2
12438,LA MAGDALENA CONTRERAS,PUEBLO NUEVO ALTO,1
11858,GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,2
11294,ÁLVARO OBREGÓN,ARCOS DEL CENTENARIO,1
12763,TLALPAN,FLORESTA COYOACAN,1
11305,ÁLVARO OBREGÓN,HERON PROAL,1
12088,GUSTAVO A MADERO,SAN JUAN DE ARAGON 1RA SECC,4
12175,IZTAPALAPA,ZONA URB STA MARTHA ACATITLA NORTE,1
12901,TLALPAN,SANTO TOMAS AJUSCO,2
12891,TLALPAN,PARAJE TETENCO,2
11542,BENITO JUÁREZ,NAPOLES,3
12675,TLÁHUAC,SANTA CRUZ MIXQUIC,1
11994,GUSTAVO A MADERO,PROVIDENCIA,4
11815,CUAUHTÉMOC,ATLAMPA,1
12925,VENUSTIANO CARRANZA,NICOLAS BRAVO,1
12491,MIGUEL HIDALGO,ANGEL ZIMBRON,1
12105,IZTACALCO,SAN PEDRO,1
12892,TLALPAN,MARIA ESTHER ZUNO DE ECHEVERRIA,1
11101,ÁLVARO OBREGÓN,LIBERALES DE 1857,3
12536,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC,1
12031,GUSTAVO A MADERO,DEFENSORES DE LA REPUBLICA,1
11816,CUAUHTÉMOC,SAN RAFAEL,1
11864,GUSTAVO A MADERO,LA FORESTAL,2
12293,IZTAPALAPA,PUEBLO SANTA CRUZ MEYEHUALCO,2
12640,TLÁHUAC,PUEBLO SAN FRANCISCO TLALTENCO,1
12752,TLALPAN,PARAJE 38,1
11352,ÁLVARO OBREGÓN,LOMAS DE SAN ANGEL INN,1
11831,CUAUHTÉMOC,AMPL ASTURIAS,1
12039,GUSTAVO A MADERO,GERTRUDIS SANCHEZ 2DA SECC,1
12994,VENUSTIANO CARRANZA,JARDIN BALBUENA,5
12927,VENUSTIANO CARRANZA,EMILIO CARRANZA,2
12280,IZTAPALAPA,HUITZICO,1
12825,TLALPAN,NUEVO RENACIMIENTO DE AXALCO,1
12078,GUSTAVO A MADERO,SAN JUAN DE ARAGON,2
