11420,AZCAPOTZALCO,INDUSTRIAL VALLEJO,1
11443,AZCAPOTZALCO,UNIDAD HAB CUITLAHUAC,6
11464,AZCAPOTZALCO,SAN ANTONIO,3
11460,AZCAPOTZALCO,ISSSFAM SEDENA LAS ARMAS,3
11480,AZCAPOTZALCO,UNIDAD HAB TLATILCO,2
11473,AZCAPOTZALCO,NUEVA SANTA MARIA,6
11467,AZCAPOTZALCO,SANTIAGO AHUIZOTLA,3
11466,AZCAPOTZALCO,SAN FRANCISCO TETECALA,2
11427,AZCAPOTZALCO,SAN JUAN TLIHUACA,3
11431,AZCAPOTZALCO,UNIDAD HAB FRANCISCO VILLA,4
11429,AZCAPOTZALCO,PRADOS DEL ROSARIO,1
11405,AZCAPOTZALCO,UNIDAD HAB SAN PABLO XALPA,1
11394,AZCAPOTZALCO,INFONAVIT EL ROSARIO,15
11453,AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3
11424,AZCAPOTZALCO,SANTA CRUZ DE LAS SALINAS,1
11481,AZCAPOTZALCO,SAN SALVADOR XOCHIMANCA,2
11478,AZCAPOTZALCO,OBRERO POPULAR,3
11388,AZCAPOTZALCO,CLAVERIA,9
12491,MIGUEL HIDALGO,ANGEL ZIMBRON,3
11391,AZCAPOTZALCO,ANGEL ZIMBRON,6
11390,AZCAPOTZALCO,SAN ALVARO,1
11490,AZCAPOTZALCO,EL ARENAL,6
11487,AZCAPOTZALCO,DEL GAS,2
11489,AZCAPOTZALCO,AMPL DEL GAS,3
11386,AZCAPOTZALCO,EL RECREO,7
11385,AZCAPOTZALCO,BARRIO NEXTENGO,1
11471,AZCAPOTZALCO,PLENITUD,2
11469,AZCAPOTZALCO,SANTA LUCIA,1
11463,AZCAPOTZALCO,NUEVA AMPL PETROLERA SECC 35,4
11457,AZCAPOTZALCO,SAN MIGUEL AMANTLA,3
11461,AZCAPOTZALCO,AMPL SAN PEDRO XALPA,1
11488,AZCAPOTZALCO,SAN FRANCISCO XOCOTITLA,1
11486,AZCAPOTZALCO,EL PORVENIR,1
11483,AZCAPOTZALCO,ALDANA,2
11485,AZCAPOTZALCO,LIBERACION,1
11476,AZCAPOTZALCO,IGNACIO ALLENDE,2
11484,AZCAPOTZALCO,AMPL COSMOPOLITA,4
11447,AZCAPOTZALCO,JARDIN AZPEITIA,1
11381,AZCAPOTZALCO,SANTA MARIA MANINALCO,1
11384,AZCAPOTZALCO,SINDICATO MEXICANO DE ELECTRICISTAS,3
11414,AZCAPOTZALCO,VILLA AZCAPOTZALCO,4
11441,AZCAPOTZALCO,PETROLERA,3
11449,AZCAPOTZALCO,AMPL PRO HOGAR,1
11450,AZCAPOTZALCO,PRO HOGAR,1
11456,AZCAPOTZALCO,POTRERO DEL LLANO,2
11454,AZCAPOTZALCO,EUZKADI,2
11419,AZCAPOTZALCO,SANTA CATARINA,4
11445,AZCAPOTZALCO,BARRIO JAGUEY,1
11446,AZCAPOTZALCO,ESTACION PANTACO,1
11380,AZCAPOTZALCO,LIBERTAD,1
11444,AZCAPOTZALCO,UNIDAD HAB PANTACO,2
11376,AZCAPOTZALCO,BARRIO SANTO TOMAS,3
11374,AZCAPOTZALCO,BARRIO LOS REYES,2
11375,AZCAPOTZALCO,NUEVO SAN RAFAEL,1
11439,AZCAPOTZALCO,LA PRECIOSA,1
11412,AZCAPOTZALCO,SANTO DOMINGO,3
11438,AZCAPOTZALCO,TEZOZOMOC,2
11435,AZCAPOTZALCO,LA PROVIDENCIA,2
11459,AZCAPOTZALCO,SAN PEDRO XALPA,1
11417,AZCAPOTZALCO,BARRIO SAN ANDRES,2
11418,AZCAPOTZALCO,SAN ANDRES,4
11411,AZCAPOTZALCO,PASTEROS,3
11402,AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC,2
11437,AZCAPOTZALCO,UNIDAD HAB MIGUEL HIDALGO,2
11416,AZCAPOTZALCO,SANTA BARBARA,6
11436,AZCAPOTZALCO,LAS TRANCAS,1
11448,AZCAPOTZALCO,HOGARES FERROCARRILEROS,1
11591,COYOACÁN,CUADRANTE SAN FRANCISCO,1
11571,COYOACÁN,FRACC HERMOSILLO,1
11567,COYOACÁN,CAMPESTRE CHURUBUSCO,7
11558,COYOACÁN,PARQUE SAN ANDRES,2
11556,COYOACÁN,BARRIO SAN LUCAS,1
11559,COYOACÁN,DEL CARMEN,8
11551,COYOACÁN,VILLA COYOACAN,2
11570,COYOACÁN,PRADO CHURUBUSCO,7
11709,COYOACÁN,ESPARTACO,1
11722,COYOACÁN,LOS GIRASOLES III,1
11710,COYOACÁN,FRACC LOS OLIVOS,1
11697,COYOACÁN,MODULO SOCIAL IMAN,5
11689,COYOACÁN,CENTRO URBANO,1
11665,COYOACÁN,FRACC INSURGENTES CUICUILCO,3
11718,COYOACÁN,CTM IXA CULHUACAN,1
11716,COYOACÁN,UNIDAD HAB OBRERO CTM CULHUACAN 9,1
11715,COYOACÁN,UNID OBRERO CTM CULHUACAN SECC 8,1
11714,COYOACÁN,UNIDAD HAB CULHUACAN STUNAM,1
11721,COYOACÁN,UNIDAD HAB EMILIANO ZAPATA,3
11701,COYOACÁN,CONJ HAB ALIANZA POP REVOLUCIONARIA04800,1
11660,COYOACÁN,UNID OBRERO CTM CULHUACAN SECC 7,2
11656,COYOACÁN,UNIDAD HAB OBRERO CTM CULHUACAN 6,2
11646,COYOACÁN,UNIDAD HAB OBRERO CTM CULHUACAN 5,1
11730,COYOACÁN,UNID OBRERO CTM CULHUACAN SECC 10,1
