key,markets,robbery,murders,home_robbery,eq_damage,hospitals,schools,OBJECTID,MUN_NAME,SETT_NAME
12034.0,1.0,116.0,0.0,2.0,2.0,0.0,2.0,12034,GUSTAVO A MADERO,INDUSTRIAL
12054.0,1.0,40.0,1.0,0.0,1.0,0.0,2.0,12054,GUSTAVO A MADERO,GUADALUPE INSURGENTES
11834.0,2.0,49.0,1.0,0.0,2.0,1.0,3.0,11834,GUSTAVO A MADERO,ARAGON
11955.0,1.0,19.0,0.0,0.0,3.0,0.0,1.0,11955,GUSTAVO A MADERO,CAPULTITLAN
11957.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,11957,GUSTAVO A MADERO,TLACAMACA
12029.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,12029,GUSTAVO A MADERO,PANAMERICANA
11985.0,2.0,76.0,1.0,0.0,2.0,0.0,9.0,11985,GUSTAVO A MADERO,CAMPESTRE ARAGON
11845.0,1.0,95.0,1.0,2.0,1.0,1.0,6.0,11845,GUSTAVO A MADERO,MARTIN CARRERA
11842.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,11842,GUSTAVO A MADERO,15 DE AGOSTO
11841.0,2.0,31.0,1.0,0.0,0.0,1.0,4.0,11841,GUSTAVO A MADERO,GUSTAVO A MADERO
12025.0,2.0,27.0,0.0,2.0,0.0,0.0,0.0,12025,GUSTAVO A MADERO,NUEVA VALLEJO
11984.0,2.0,22.0,1.0,1.0,0.0,1.0,2.0,11984,GUSTAVO A MADERO,25 DE JULIO
11971.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,11971,GUSTAVO A MADERO,EDUARDO MOLINA I
12089.0,1.0,37.0,1.0,3.0,3.0,0.0,7.0,12089,GUSTAVO A MADERO,SAN JUAN DE ARAGON 2DA SECC
12064.0,1.0,34.0,6.0,0.0,2.0,0.0,1.0,12064,GUSTAVO A MADERO,SAN JUAN DE ARAGON 7MA SECC
12065.0,1.0,34.0,1.0,0.0,1.0,0.0,1.0,12065,GUSTAVO A MADERO,SAN JUAN DE ARAGON 6TA SECC
11994.0,1.0,75.0,2.0,4.0,1.0,1.0,3.0,11994,GUSTAVO A MADERO,PROVIDENCIA
11962.0,1.0,69.0,5.0,0.0,7.0,1.0,2.0,11962,GUSTAVO A MADERO,NUEVA ATZACOALCO
11835.0,2.0,87.0,2.0,1.0,0.0,0.0,9.0,11835,GUSTAVO A MADERO,SANTA ISABEL TOLA
11850.0,1.0,32.0,5.0,0.0,0.0,1.0,4.0,11850,GUSTAVO A MADERO,AMPL GABRIEL HERNANDEZ
11840.0,1.0,42.0,2.0,1.0,2.0,0.0,2.0,11840,GUSTAVO A MADERO,ATZACOALCO
11983.0,1.0,181.0,8.0,0.0,3.0,0.0,5.0,11983,GUSTAVO A MADERO,SAN FELIPE DE JESUS
12019.0,1.0,46.0,1.0,0.0,0.0,0.0,3.0,12019,GUSTAVO A MADERO,UNIDAD LINDAVISTA VALLEJO
11951.0,1.0,40.0,0.0,0.0,0.0,1.0,0.0,11951,GUSTAVO A MADERO,UNID PROFES ZACATENCO LINDAVISTA
11916.0,3.0,35.0,0.0,0.0,1.0,0.0,3.0,11916,GUSTAVO A MADERO,ACUEDUCTO DE GUADALUPE
11939.0,1.0,32.0,2.0,0.0,0.0,0.0,4.0,11939,GUSTAVO A MADERO,SANTA MARIA TICOMAN
11927.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,11927,GUSTAVO A MADERO,INFONAVIT
11937.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11937,GUSTAVO A MADERO,ARROYO DE GUADALUPE
11954.0,1.0,44.0,0.0,1.0,2.0,1.0,11.0,11954,GUSTAVO A MADERO,RES ZACATENCO
11873.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,11873,GUSTAVO A MADERO,LOMA DE LA PALMA
11910.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11910,GUSTAVO A MADERO,MATIAS ROMERO ZONA NORTE
11899.0,1.0,46.0,7.0,0.0,0.0,0.0,1.0,11899,GUSTAVO A MADERO,ZONA ESCOLAR
12058.0,1.0,30.0,1.0,3.0,2.0,3.0,5.0,12058,GUSTAVO A MADERO,NUEVA TENOCHTITLAN
12113.0,1.0,17.0,0.0,0.0,0.0,0.0,2.0,12113,IZTACALCO,MARIO MORENO
12150.0,3.0,52.0,3.0,1.0,1.0,1.0,4.0,12150,IZTACALCO,BENITO JUAREZ
12097.0,1.0,19.0,1.0,0.0,0.0,0.0,4.0,12097,IZTACALCO,AMPL GABRIEL RAMOS MILLAN
12120.0,1.0,8.0,1.0,0.0,0.0,0.0,2.0,12120,IZTACALCO,LA ASUNCION
12095.0,2.0,38.0,1.0,0.0,0.0,1.0,4.0,12095,IZTACALCO,GABRIEL RAMOS MILLAN SECC BRAMADERO
12137.0,1.0,22.0,2.0,0.0,0.0,0.0,3.0,12137,IZTACALCO,LOS PICOS DE IZTACALCO 1RA SECC
12125.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,12125,IZTACALCO,RICARDO FLORES MAGON
12116.0,4.0,318.0,3.0,9.0,8.0,1.0,23.0,12116,IZTACALCO,AGRICOLA ORIENTAL
12117.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,12117,IZTACALCO,EL RODEO
12096.0,1.0,19.0,0.0,0.0,0.0,0.0,2.0,12096,IZTACALCO,EX EJIDO MAGDALENA MIXHUCA
12109.0,1.0,27.0,0.0,0.0,0.0,2.0,3.0,12109,IZTACALCO,SANTA ANITA
12104.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,12104,IZTACALCO,NUEVA SANTA ANITA
12101.0,3.0,199.0,5.0,1.0,7.0,3.0,15.0,12101,IZTACALCO,PANTITLAN
12112.0,1.0,64.0,1.0,1.0,0.0,1.0,6.0,12112,IZTACALCO,GRANJAS MEXICO
12261.0,1.0,61.0,4.0,1.0,0.0,0.0,2.0,12261,IZTAPALAPA,EJÉRCITO DE AGUA PRIETA
