Be Grand Alto Polanco Preventa departamentos Torre III,19.4399978,-99.18324,"Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",6,1,4719101,11
Residencial Zaragoza 176,19.4468229,-99.1486686,"Buenavista, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",51,1,1430000,11
Park D Luxe,19.365215600000006,-99.2994873,"Colonia Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",59,1,2117502,11
Wind Diagonal San Antonio,19.394284,-99.15760799999998,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",97,1,4578740,11
Condominio en venta en Pedregal Tlalpan CDMX 4603,19.302087,-99.19691799999998,"Parque del Pedregal, Tlalpan, Distrito Federal (CDMX), Distrito Federal (CDMX)",210,1,9724000,11
Residencial Cossío 18,19.3940065,-99.1688577,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",85,1,4249000,11
Nueva Ribera Preventa,19.4532302,-99.1607803,"Santa Maria La Ribera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",56,1,2668000,11
Platino 74,19.4568034,-99.12458600000002,"Valle Gómez, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",5,1,1165000,11
Star Platino San Antonio,19.3846732,-99.1933136,"San Pedro de los Pinos, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",58,1,2201600,11
Vista San Ángel,19.3590497,-99.19434509999996,"Los Alpes, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",65,1,2950000,11
Desarrollo Alté Sur,19.3025305,-99.16987369999998,"Olímpica, Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",118,1,3750000,11
Alpes Residencial,19.3608,-99.19218309999997,"Los Alpes, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",50,1,2892000,11
CIMA DF Agrícola Oriental S24,19.3863388,-99.0615884,"Colonia Agrícola Oriental, Iztacalco, Distrito Federal (CDMX)",59,1,1493370,11
Barranca del Muerto 536,19.3635989,-99.1941483,"Los Alpes, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",107,1,5500000,11
Torre Cadu Eje Central,19.369059961257893,-99.15016784536895,"Portales Norte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",60,1,2155687,11
Torre Cadu Portales,19.3674992,-99.15023429999997,"Portales Norte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",70,1,2405575,11
ZEMPOALA 267 Loft s en venta entrega inmediata,19.3923907,-99.15806929999997,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",128,1,3616286,11
Azafrán Entrega Inmediata,19.3999222,-99.0926733,"Granjas México, Iztacalco, Distrito Federal (CDMX)",40,1,1342346,11
Cima DF Pantitlán C4,19.4121137,-99.06254289999998,"Agrícola Pantitlán, Iztacalco, Distrito Federal (CDMX)",5,1,1258395,11
Torre Cadu Lago,19.4454715,-99.1691727,"Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",64,1,2223409,11
Taman Condesa,19.4101674,-99.18013280000002,"Hipódromo Condesa, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",63,1,4431000,11
Desarrollo Livix,19.4414127,-99.1959061,"Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",64,1,4508000,11
Texas 25 Nápoles,19.3928749,-99.1768707,"Nápoles, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",107,1,6075640,11
Ícono Narvarte,19.3821695,-99.150082,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",98,1,3940000,11
Ángel Urraza 1019,19.3818736,-99.16315159999999,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",91,1,4255600,11
Se venden departamentos en Cima DF San Isidro,19.4853235,-99.20951459999998,"San Pedro Xalpa, Azcapotzalco, Distrito Federal (CDMX), Distrito Federal (CDMX)",65,1,2026806,11
Desarrollo R 99,19.3710371,-99.1780205,"Actipan, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",64,1,3120000,11
San Isidro 610,19.4847041,-99.21136690000004,"San Pedro Xalpa, Azcapotzalco, Distrito Federal (CDMX), Distrito Federal (CDMX)",66,1,1972000,11
Altos Lindavista Entrega Inmediata,19.4942598,-99.14482249999998,"San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal (CDMX)",43,1,1707784,11
Cima DF Gaviotas,19.478800600000003,-99.10612530000004,"Granjas Modernas, Gustavo A. Madero, Distrito Federal (CDMX)",57,1,1552167,11
Cima DF Ferrocarril Hidalgo,19.4582541,-99.1236017,"Valle Gómez, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",56,1,1381017,11
Departamento en Venta Jaime Torres Bodet Santa Maria La Ribera Cuauhtémoc Distrito Federal cdmx,19.4481111,-99.1578523,"Santa Maria La Ribera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",47,1,2831607,11
Monte Albán 163,19.3936334,-99.14999339999996,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",111,1,3988120,11
Only Coyoacán,19.3624353,-99.15801829999998,"General Pedro Maria Anaya, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",100,1,3983000,11
Torre Cadu Oasis,19.3401134,-99.1824209,"Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",53,1,2784756,11
Torre Cadu Constantino,19.4599847,-99.13181029999998,"Cuauhtémoc, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",48,1,1448195,11
Lucas Alamán 105,19.4211777,-99.1399793,"Obrera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",61,1,1952500,11
