11065,SAN ANGEL,1487.78
11066,LOS ALPES,1168.97
11067,GUADALUPE INN,1222.1
11068,AXOTLA,451.65
11069,FLORIDA,1456.56
11070,CAMPESTRE,1434.64
11072,TLACOPAC,1089.2649999999999
11075,ALTAVISTA,2311.37
11076,SAN ANGEL INN,1115.835
11077,CHIMALISTAC,1036.13
11078,PROGRESO TIZAPAN,1062.7
11084,TIZAPAN,1487.78
11085,LA OTRA BANDA,2284.8
11086,LORETO,1594.05
11099,EL CAPULIN,557.92
11100,LAS PALMAS,557.92
11102,BELEN DE LAS FLORES,180.66
11104,COVE,478.21
11110,AMPLIACION HIDALGO,982.9950000000001
11117,JOSE MARIA PINO SUAREZ,297.56
11118,BELLAVISTA,371.94
11121,TOLTECA,584.48
11122,AMPL BOSQUES 2DA SECC,5500.0
11124,MARIA G DE GARCIA RUIZ,797.02
11128,ISIDRO FABELA,929.86
11131,SAN PEDRO DE LOS PINOS,770.46
11133,CAROLA,680.13
11139,SANTA FE,1594.05
11140,LOMAS DE SANTA FE,1447.9250000000002
11142,ZEDEC SANTA FE,1567.48
11146,CUEVITAS,597.77
11147,EL CUERNITO,1009.56
11152,BOSCOSO,1328.3700000000001
11157,TLAPECHICO,425.08
11169,LA LOMA,1594.05
11175,AMPL LA MEXICANA,7000.0
11199,PRESIDENTES,451.645
11204,2DA AMPLIACION JALALPA EL GRANDE,1408.0749999999998
11211,SAN GABRIEL,1049.415
11213,FRACC PASEO DE LAS LOMAS,1381.51
11214,BEJERO,69354.41
11220,OLIVAR DEL CONDE 1RA SECC,903.29
11221,PEZ,398.51
11228,SACRAMENTO,690.75
11229,SANTA MARIA NONOALCO,903.29
11230,COLINAS DEL SUR,823.5899999999999
11232,MIXCOAC,690.75
11236,ALFONSO XIII,504.78
11239,LOMAS DE PLATEROS,690.75
11242,SANTA LUCIA,611.05
11246,TETLALPAN,1188.895
11249,LOS CEDROS,1283.21
11250,GARCIMARRERO,592.455
11252,ESTADO DE HIDALGO,531.35
11258,AMPL CORPUS CHRISTI,411.79499999999996
11262,CORPUS CHRISTI 2DO REACOMODO,1192.88
11267,BALCONES DE CEGUAYO,371.94
11274,AMPL TEPEACA,292.24
11277,AVE REAL,244.42
11282,EJIDO SAN MATEO,1036.13
11284,BOSQUES DE TARANGO,770.46
11286,MISIONES DE TARANGO,1062.7
11291,MERCED GOMEZ,770.46
11296,LA MARTINICA,345.38
11297,LOMAS DE TARANGO,983.0
11300,PUERTA GRANDE,124867.16
11305,HERON PROAL,332.09000000000003
11308,PALMAS AXOTITLA,1168.97
11319,TETELPAN,1323.06
11324,PILARES AGUILAS,1036.13
11326,LAS AGUILAS,1168.97
11327,LOMAS DE GUADALUPE,504.78
11328,ALCANTARILLA,982.9949999999999
11329,PUENTE COLORADO,451.65
11330,AMPL PUENTE COLORADO,451.65
11334,SAN CLEMENTE NORTE,1381.51
11337,AMPL LAS AGUILAS 3ER PARQUE,1075.98
11343,ATLAMAYA,1275.24
11346,SAN JOSE DEL OLIVAR,903.29
11347,OLIVAR DE LOS PADRES,1036.13
11348,TIZAMPAMPANO,2085.55
11350,LOMAS DE LOS ANGELES TETELPAN,1036.13
11352,LOMAS DE SAN ANGEL INN,1275.24
11353,SAN MATEO TLALTENANGO,2098.83
11355,SAN BARTOLO AMEYALCO,491.5
11357,VILLA VERDUM,1381.51
11358,LOMAS DE AXOMIATLA,1275.24
11359,SANTA ROSA XOCHIAC,212.54
11361,TORRES DE POTRERO,983.0
11368,LOMAS DE LA HERA,4500.0
11370,LOMAS DE LOS CEDROS,1819.875
11371,JARDINES DEL PEDREGAL,1501.065
11377,SAN MARCOS,387.89
11378,BARRIO SAN SEBASTIAN,557.92
11384,SINDICATO MEXICANO DE ELECTRICISTAS,690.75
11385,BARRIO NEXTENGO,563.23
11386,EL RECREO,508.04999999999995
11388,CLAVERIA,584.4849999999999
11390,SAN ALVARO,717.32
11399,SAN PABLO XALPA,39851.22
11402,SAN MARTIN XOCHINAHUAC,371.94
11412,SANTO DOMINGO,557.92
11414,VILLA AZCAPOTZALCO,677.47
11416,SANTA BARBARA,382.57
11420,INDUSTRIAL VALLEJO,398.51
11427,SAN JUAN TLIHUACA,371.94
11429,PRADOS DEL ROSARIO,464.93
11435,LA PROVIDENCIA,318.81
11439,LA PRECIOSA,531.35
11448,HOGARES FERROCARRILEROS,425.08
11450,PRO HOGAR,470.245
11455,COSMOPOLITA,557.92
11457,SAN MIGUEL AMANTLA,451.65
11459,SAN PEDRO XALPA,584.48
11464,SAN ANTONIO,491.5
11466,SAN FRANCISCO TETECALA,425.03
11467,SANTIAGO AHUIZOTLA,302.87
11468,INDUSTRIAL SAN ANTONIO,584.48
11469,SANTA LUCIA,690.75
11473,NUEVA SANTA MARIA,451.645
11478,OBRERO POPULAR,478.21
11479,TLATILCO,371.94
11487,DEL GAS,557.92
11489,AMPL DEL GAS,584.48
11490,EL ARENAL,85.02
11493,PIEDAD NARVARTE,903.29
11494,ATENOR SALA,1163.66
11495,NARVARTE PONIENTE,903.29
11496,NARVARTE ORIENTE,1062.7
11497,U HAB IMSS NARVARTE,797.02
11500,DEL VALLE,1115.83
11502,TLACOQUEMECATL,810.31
11504,ACTIPAN,1115.83
11505,ACACIAS,1179.6
11506,PORTALES SUR,717.32
11507,PORTALES NORTE,767.8
11508,SANTA CRUZ ATOYAC,956.43
11511,XOCO,1275.24
11512,GRAL PEDRO MARIA ANAYA,1036.13
11513,ALAMOS,637.62
11514,POSTAL,464.93
