11065,SAN ANGEL,1487778.96
11066,LOS ALPES,475557.92
11067,GUADALUPE INN,903294.37
11068,AXOTLA,557917.11
11069,FLORIDA,916578.11
11070,CAMPESTRE,925876.725
11072,TLACOPAC,1434644.0
11075,ALTAVISTA,743889.48
11076,SAN ANGEL INN,1045164.72
11077,CHIMALISTAC,1514346.44
11078,PROGRESO TIZAPAN,361317.75
11080,PROGRESO,251470.03
11084,TIZAPAN,674814.03
11085,LA OTRA BANDA,637619.55
11086,LORETO,561777.9450000001
11087,REACOMODO LOMAS DE SANTO DOMINGO,263018.07
11104,COVE,475557.91500000004
11109,ACUEDUCTO,38416.58
11110,AMPLIACION HIDALGO,751859.72
11115,MOLINO DE SANTO DOMINGO,106269.93
11116,REACOMODO PINO SUAREZ,80765.14
11117,JOSE MARIA PINO SUAREZ,156748.14
11118,BELLAVISTA,101886.29000000001
11123,CRISTO REY,58977.42
11124,MARIA G DE GARCIA RUIZ,148777.9
11131,SAN PEDRO DE LOS PINOS,531349.63
11133,CAROLA,96386.82
11139,SANTA FE,1100000.0
11140,LOMAS DE SANTA FE,1057226.35
11142,ZEDEC SANTA FE,1301806.59
11147,EL CUERNITO,176606.4
11169,LA LOMA,1328374.07
11171,LA MEXICANA 2A AMPLIACION,234325.19
11188,ALVARO OBREGON DESARROLLO URBANO,49096.71
11192,EL POCITO,158873.54
11199,PRESIDENTES,76248.67
11200,JALALPA,94580.23
11204,2DA AMPLIACION JALALPA EL GRANDE,467587.67
11207,PILOTO ADOLFO LOPEZ MATEOS,98299.68
11213,FRACC PASEO DE LAS LOMAS,1052072.26
11219,PRECONCRETO,233793.84
11220,OLIVAR DEL CONDE 1RA SECC,1062699.26
11221,PEZ,550689.905
11223,OLIVAR DEL CONDE 2DA SECC,451647.18
11225,BARRIO NORTE,235920.66999999998
11230,COLINAS DEL SUR,683846.97
11238,MOLINO DE ROSAS,312167.905
11240,LA CASCADA,1142401.7
11242,SANTA LUCIA,356004.25
11246,TETLALPAN,419766.21
11249,LOS CEDROS,205182.47
11254,EL PIRU,87672.69
11258,AMPL CORPUS CHRISTI,151434.64
11263,ACUILOTLA,98299.68
11269,VILLA PROGRESISTA,63761.96
11274,AMPL TEPEACA,124867.16
11275,TEPEACA,108926.67
11278,CANUTILLO,185972.37
11284,BOSQUES DE TARANGO,584484.59
11286,MISIONES DE TARANGO,510095.64
11289,EL RINCON,1331030.82
11293,COLINAS DE TARANGO,425079.7
11297,LOMAS DE TARANGO,383103.08
11300,PUERTA GRANDE,112889.69
11302,REACOMODO LOMAS PUERTA GRANDE,69497.665
11303,AMPLIACION TLACUITLAPA II,313230.605
11304,LOMAS DE PUERTA GRANDE,170031.88
11305,HERON PROAL,111583.42
11308,PALMAS AXOTITLA,544633.37
11309,TLACUITLAPA,132837.41
11319,TETELPAN,486184.91
11323,EL MIRADOR,222193.83500000002
11324,PILARES AGUILAS,258235.92
11326,LAS AGUILAS,438363.44
11327,LOMAS DE GUADALUPE,494155.15
11328,ALCANTARILLA,413390.01
11329,PUENTE COLORADO,593783.21
11330,AMPL PUENTE COLORADO,441020.19
11331,LOMAS DE LAS AGUILAS,409139.21
11334,SAN CLEMENTE NORTE,263018.07
11337,AMPL LAS AGUILAS 3ER PARQUE,721041.4450000001
11343,ATLAMAYA,674814.03
11344,FLOR DE MARIA,770456.96
11345,LA ANGOSTURA,159245.48
11346,SAN JOSE DEL OLIVAR,518065.89
11347,OLIVAR DE LOS PADRES,419766.21
11348,TIZAMPAMPANO,956429.33
11350,LOMAS DE LOS ANGELES TETELPAN,486184.91
11351,MIGUEL HIDALGO,170031.88
11352,LOMAS DE SAN ANGEL INN,1385494.155
11355,SAN BARTOLO AMEYALCO,1009564.29
11356,RANCHO SAN FRANCISCO,2231668.44
11357,VILLA VERDUM,552603.61
11358,LOMAS DE AXOMIATLA,376992.56
11359,SANTA ROSA XOCHIAC,414452.71
11361,TORRES DE POTRERO,116896.92
11365,LOMAS DE CHAMONTOYA,92986.18
11368,LOMAS DE LA HERA,356004.25
11370,LOMAS DE LOS CEDROS,451647.18
11371,JARDINES DEL PEDREGAL,1408076.51
11373,SAN RAFAEL,207226.35
11374,BARRIO LOS REYES,200818.27500000002
11376,BARRIO SANTO TOMAS,345377.26
11377,SAN MARCOS,239107.33
11381,SANTA MARIA MANINALCO,225823.59
11382,UN HOGAR PARA CADA TRABAJADOR,265674.81
11384,SINDICATO MEXICANO DE ELECTRICISTAS,223166.84
11385,BARRIO NEXTENGO,260361.32
11386,EL RECREO,270988.31
11388,CLAVERIA,248140.28
11390,SAN ALVARO,446333.69
11391,ANGEL ZIMBRON,219893.73
11394,INFONAVIT EL ROSARIO,123538.785
11399,SAN PABLO XALPA,194410.2
11402,SAN MARTIN XOCHINAHUAC,46971.31
11407,NUEVA EL ROSARIO,170031.88
11410,SANTA INES,45164.72
11411,PASTEROS,194562.51
11414,VILLA AZCAPOTZALCO,247077.575
11415,REYNOSA TAMAULIPAS,178799.15
11416,SANTA BARBARA,71732.2
11418,SAN ANDRES,69606.8
11419,SANTA CATARINA,249734.33
11420,INDUSTRIAL VALLEJO,69606.8
11427,SAN JUAN TLIHUACA,99681.19
11429,PRADOS DEL ROSARIO,268331.56
11431,UNIDAD HAB FRANCISCO VILLA,79702.44
11432,AZCAPOTZALCO 2000,178256.27000000002
11433,HACIENDA DEL ROSARIO,53368.76
11435,LA PROVIDENCIA,124867.16
11436,LAS TRANCAS,99344.66
11437,UNIDAD HAB MIGUEL HIDALGO,100956.43
