colonia,del,num
SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,1
SAN MIGUEL TOPILEJO,TLALPAN,1
SAN NICOLAS II,TLALPAN,1
SAN NICOLAS TETELCO,TLÁHUAC,1
SAN PEDRO,IZTACALCO,1
SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,8
SAN RAFAEL,CUAUHTÉMOC,1
SANTA ANA PONIENTE,TLÁHUAC,1
SANTA ANA SUR,TLÁHUAC,1
SANTA BARBARA,AZCAPOTZALCO,1
SANTA CRUZ ATOYAC,BENITO JUÁREZ,5
SANTA CRUZ MIXQUIC,TLÁHUAC,1
SANTA MARIA AZTAHUACAN,IZTAPALAPA,2
SANTA MARIA INSURGENTES,CUAUHTÉMOC,1
SANTA MARIA LA RIBERA,CUAUHTÉMOC,6
SANTA MARIA NONOALCO,ÁLVARO OBREGÓN,2
SANTIAGO AHUIZOTLA,AZCAPOTZALCO,1
SECTOR POPULAR,IZTAPALAPA,1
SELENE 2A SECCION,TLÁHUAC,2
SIERRAVISTA,GUSTAVO A MADERO,1
SIFON,IZTAPALAPA,1
SOLIDARIDAD,IZTAPALAPA,1
TABACALERA,CUAUHTÉMOC,3
TEPALCATES,IZTAPALAPA,1
TLACOQUEMECATL,BENITO JUÁREZ,5
TLALPAN CENTRO I,TLALPAN,2
TLALPAN CENTRO II,TLALPAN,1
TLALPEXCO,GUSTAVO A MADERO,1
TORIELLO GUERRA,TLALPAN,1
U. PROF. ADOLFO LOPEZ MATEOS,GUSTAVO A MADERO,1
UNID HAB EJERC DE OTE ZONA PEÑON,IZTAPALAPA,2
UNID OBRERO CTM CULHUACAN SECC 7A,COYOACÁN,1
UNID OBRERO CTM CULHUACAN SECC 8,COYOACÁN,1
UNIDAD HAB BENITO JUAREZ,IZTAPALAPA,1
UNIDAD HAB CABEZA DE JUAREZ,IZTAPALAPA,3
UNIDAD HAB EJERCITO DE ORIENTE,IZTAPALAPA,1
UNIDAD HAB EMILIANO ZAPATA,COYOACÁN,2
UNIDAD HAB ISSFAM,TLALPAN,1
UNIDAD HAB LA COLMENA,IZTAPALAPA,1
UNIDAD HAB NONOALCO TLATELOLCO,CUAUHTÉMOC,3
UNIDAD HAB OBRERO CTM CULHUACAN 6,COYOACÁN,1
UNIDAD HAB PEMEX,TLALPAN,1
UNIDAD HAB PILOTO CULHUACAN,COYOACÁN,1
UNIDAD HAB SANTA CRUZ MEYEHUALCO,IZTAPALAPA,3
UNIDAD HAB SANTA FE IMSS,ÁLVARO OBREGÓN,1
UNIDAD HAB SANTA MARTHA DEL SUR,COYOACÁN,1
UNIDAD HAB TLATILCO,AZCAPOTZALCO,1
UNIDAD HAB VICENTE GUERRERO,IZTAPALAPA,3
UNIDAD MODELO,IZTAPALAPA,1
VALLE GOMEZ,CUAUHTÉMOC,1
VALLE GOMEZ,VENUSTIANO CARRANZA,1
VALLEJO,GUSTAVO A MADERO,3
VASCO DE QUIROGA,GUSTAVO A MADERO,1
VASO DE REGULACION,XOCHIMILCO,1
VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,1
VERGEL,IZTAPALAPA,1
VERTIZ NARVARTE,BENITO JUÁREZ,1
VIADUCTO PIEDAD,IZTACALCO,2
VILLA AZCAPOTZALCO,AZCAPOTZALCO,1
VILLA COAPA,TLALPAN,1
VILLA COYOACAN,COYOACÁN,2
VILLA LAZARO CARDENAS,TLALPAN,1
VILLA TLALPAN,TLALPAN,3
VISTAS DEL PEDREGAL,TLALPAN,1
XOTEPINGO,COYOACÁN,1
Z URB EJ STA MARIA AZTAHUACAN,IZTAPALAPA,2
ZACAHUITZCO,BENITO JUÁREZ,1
ZACAHUITZCO,IZTAPALAPA,1
ZONA URB STA MARTHA ACATITLA NORTE,IZTAPALAPA,2
