11065,SAN ANGEL,325717.31999999995
11066,LOS ALPES,285897.555
11067,GUADALUPE INN,425079.7
11068,AXOTLA,270988.31
11069,FLORIDA,702975.56
11072,TLACOPAC,291976.62
11076,SAN ANGEL INN,350690.75
11077,CHIMALISTAC,515409.14
11078,PROGRESO TIZAPAN,257704.57
11080,PROGRESO,251470.03
11084,TIZAPAN,370483.525
11085,LA OTRA BANDA,409139.21
11086,LORETO,339646.33
11104,COVE,116896.92
11110,AMPLIACION HIDALGO,217347.40000000002
11117,JOSE MARIA PINO SUAREZ,21966.95
11118,BELLAVISTA,47307.6
11121,TOLTECA,71732.2
11122,AMPL BOSQUES 2DA SECC,356004.25
11124,MARIA G DE GARCIA RUIZ,102286.555
11130,UNIDAD HAB SANTA FE IMSS,255047.82
11131,SAN PEDRO DE LOS PINOS,133469.185
11133,CAROLA,119023.59
11134,ARTURO MARTINEZ,77045.7
11137,UNIDAD HAB BELEN,21966.95
11139,SANTA FE,467587.67
11140,LOMAS DE SANTA FE,265674.81
11142,ZEDEC SANTA FE,383900.105
11146,CUEVITAS,132837.35
11147,EL CUERNITO,99176.41
11152,BOSCOSO,138150.9
11169,LA LOMA,422422.95
11180,LA PRESA,68278.43
11188,ALVARO OBREGON DESARROLLO URBANO,138576.995
11190,LOMAS DE BECERRA GRANADA,281615.3
11195,UNIDAD HAB LOMAS DE BECERRA,30818.28
11196,ARVIDE,30818.28
11199,PRESIDENTES,58448.46
11204,2DA AMPLIACION JALALPA EL GRANDE,521785.33499999996
11212,CARLOS A MADRAZO,228480.34
11213,FRACC PASEO DE LAS LOMAS,302869.29
11214,BEJERO,151434.64
11220,OLIVAR DEL CONDE 1RA SECC,45430.395000000004
11223,OLIVAR DEL CONDE 2DA SECC,45164.72
11227,MINAS DE CRISTO,20825.24
11228,SACRAMENTO,118756.64
11229,SANTA MARIA NONOALCO,207226.35
11230,COLINAS DEL SUR,170031.88
11232,MIXCOAC,396702.23
11233,U. CAÑADA DEL OLIVAR,45164.72
11236,ALFONSO XIII,93863.97
11238,MOLINO DE ROSAS,100956.425
11239,LOMAS DE PLATEROS,62167.91
11241,TORRES DE MIXCOAC,158873.54
11242,SANTA LUCIA,29448.62
11246,TETLALPAN,51009.56
11250,GARCIMARRERO,79702.44
11252,ESTADO DE HIDALGO,101381.51
11258,AMPL CORPUS CHRISTI,35191.29
11262,CORPUS CHRISTI 2DO REACOMODO,233793.835
11282,EJIDO SAN MATEO,212008.5
11284,BOSQUES DE TARANGO,109280.9
11286,MISIONES DE TARANGO,162061.64
11291,MERCED GOMEZ,34410.2
11293,COLINAS DE TARANGO,83687.57
11296,LA MARTINICA,148777.9
11297,LOMAS DE TARANGO,96094.58
11302,REACOMODO LOMAS PUERTA GRANDE,124867.16
11304,LOMAS DE PUERTA GRANDE,124867.16
11305,HERON PROAL,1530286.93
11308,PALMAS AXOTITLA,387885.23
11309,TLACUITLAPA,79702.44
11315,OCOTILLOS,324335.81
11319,TETELPAN,239107.33
11321,LA JOYITA,207226.35
11324,PILARES AGUILAS,834922.95
11326,LAS AGUILAS,417109.45999999996
11328,ALCANTARILLA,263018.07
11331,LOMAS DE LAS AGUILAS,414452.71
11332,SAN CLEMENTE SUR,177470.78
11334,SAN CLEMENTE NORTE,58863.97
11337,AMPL LAS AGUILAS 3ER PARQUE,435706.695
11343,ATLAMAYA,313496.28
11344,FLOR DE MARIA,934567.96
11346,SAN JOSE DEL OLIVAR,233164.03
11347,OLIVAR DE LOS PADRES,244601.22499999998
11348,TIZAMPAMPANO,233262.49
11350,LOMAS DE LOS ANGELES TETELPAN,220510.1
11351,MIGUEL HIDALGO,119553.67
11352,LOMAS DE SAN ANGEL INN,273987.08999999997
11355,SAN BARTOLO AMEYALCO,369287.99
11357,VILLA VERDUM,350690.75
11358,LOMAS DE AXOMIATLA,263018.07
11361,TORRES DE POTRERO,207226.35
11368,LOMAS DE LA HERA,563230.61
11370,LOMAS DE LOS CEDROS,433714.135
11371,JARDINES DEL PEDREGAL,451620.615
11376,BARRIO SANTO TOMAS,81827.84
11377,SAN MARCOS,77683.315
11379,DEL MAESTRO,63761.96
11380,LIBERTAD,39851.22
11383,BENITO JUAREZ,42773.65
11385,BARRIO NEXTENGO,137873.22
11386,EL RECREO,30118.01
11388,CLAVERIA,203241.235
11390,SAN ALVARO,124734.01
11391,ANGEL ZIMBRON,75982.995
11394,INFONAVIT EL ROSARIO,36976.195
11399,SAN PABLO XALPA,39851.22
11402,SAN MARTIN XOCHINAHUAC,68012.75
11403,XOCHINAHUAC,61105.21
11407,NUEVA EL ROSARIO,58448.46
11408,NUEVA ESPAÑA,20944.1
11411,PASTEROS,42507.97
11412,SANTO DOMINGO,78227.42
11414,VILLA AZCAPOTZALCO,92986.18
11415,REYNOSA TAMAULIPAS,54264.08
11416,SANTA BARBARA,20944.1
11417,BARRIO SAN ANDRES,78108.4
11418,SAN ANDRES,96705.63
11419,SANTA CATARINA,76514.35
11426,LAS SALINAS,54231.67
11427,SAN JUAN TLIHUACA,41250.53
11428,ROSENDO SALAZAR,75983.0
11429,PRADOS DEL ROSARIO,31530.29
11431,UNIDAD HAB FRANCISCO VILLA,31166.05
11432,AZCAPOTZALCO 2000,56323.06
11434,PRESIDENTE MADERO,64957.49
11435,LA PROVIDENCIA,63761.96
11436,LAS TRANCAS,57197.66
11438,TEZOZOMOC,113575.98000000001
11439,LA PRECIOSA,66418.7
11441,PETROLERA,26245.27
11442,SAN MATEO,26245.27
11447,JARDIN AZPEITIA,61105.21
