11065,SAN ANGEL,4383.635
11066,LOS ALPES,2125.4
11067,GUADALUPE INN,3500.0
11069,FLORIDA,2922.42
11070,CAMPESTRE,5844.85
11072,TLACOPAC,2922.42
11075,ALTAVISTA,11689.69
11076,SAN ANGEL INN,4300.0
11077,CHIMALISTAC,2656.745
11078,PROGRESO TIZAPAN,1859.72
11084,TIZAPAN,5313.5
11085,LA OTRA BANDA,1859.72
11110,AMPLIACION HIDALGO,229823.59
11133,CAROLA,680.13
11139,SANTA FE,4516.47
11140,LOMAS DE SANTA FE,3719.45
11142,ZEDEC SANTA FE,6275.4
11169,LA LOMA,4357.07
11204,2DA AMPLIACION JALALPA EL GRANDE,2125.4
11213,FRACC PASEO DE LAS LOMAS,3094.05
11230,COLINAS DEL SUR,2337.94
11242,SANTA LUCIA,1301.81
11252,ESTADO DE HIDALGO,850.16
11284,BOSQUES DE TARANGO,1806.59
11297,LOMAS DE TARANGO,2151.965
11319,TETELPAN,1912.86
11326,LAS AGUILAS,2019.13
11327,LOMAS DE GUADALUPE,1487.78
11328,ALCANTARILLA,505579.17000000004
11330,AMPL PUENTE COLORADO,850.16
11331,LOMAS DE LAS AGUILAS,2045.6950000000002
11337,AMPL LAS AGUILAS 3ER PARQUE,3985.12
11343,ATLAMAYA,2019.13
11344,FLOR DE MARIA,2125.4
11346,SAN JOSE DEL OLIVAR,876.73
11347,OLIVAR DE LOS PADRES,956.4300000000001
11348,TIZAMPAMPANO,2391.075
11350,LOMAS DE LOS ANGELES TETELPAN,1673.75
11352,LOMAS DE SAN ANGEL INN,4250.8
11355,SAN BARTOLO AMEYALCO,2656.75
11356,RANCHO SAN FRANCISCO,4782.15
11357,VILLA VERDUM,2811.21
11358,LOMAS DE AXOMIATLA,4782.15
11359,SANTA ROSA XOCHIAC,157412.325
11361,TORRES DE POTRERO,823591.92
11362,RINCON DE LA BOLSA,1000000.0
11371,JARDINES DEL PEDREGAL,4516.47
11386,EL RECREO,770.46
11388,CLAVERIA,903.29
11394,INFONAVIT EL ROSARIO,1328.37
11417,BARRIO SAN ANDRES,1036.13
11418,SAN ANDRES,637.62
11420,INDUSTRIAL VALLEJO,637.62
11429,PRADOS DEL ROSARIO,584.48
11433,HACIENDA DEL ROSARIO,690.75
11441,PETROLERA,637.62
11455,COSMOPOLITA,1434.64
11473,NUEVA SANTA MARIA,823.59
11478,OBRERO POPULAR,1339.0
11479,TLATILCO,1328.37
11486,EL PORVENIR,770.46
11495,NARVARTE PONIENTE,1700.315
11496,NARVARTE ORIENTE,2284.8
11497,U HAB IMSS NARVARTE,1328.37
11500,DEL VALLE,2391.07
11502,TLACOQUEMECATL,2311.37
11506,PORTALES SUR,6641.87
11508,SANTA CRUZ ATOYAC,1328.37
11511,XOCO,1062.7
11513,ALAMOS,637.62
11519,MODERNA,4782.15
11520,IZTACCIHUATL,573857.6
11527,ERMITA,1062.7
11528,VERTIZ NARVARTE,6376.2
11533,LETRAN VALLE,2125.4
11534,SAN SIMON TICUMAC,531.35
11539,EXTREMADURA INSURGENTES,2019.13
11540,SAN PEDRO DE LOS PINOS,1859.72
11542,NAPOLES,2603.61
11545,SAN JOSE INSURGENTES,2656.75
11546,MIXCOAC,1329436.77
11547,INSURGENTES MIXCOAC,7173.22
11549,CREDITO CONSTRUCTOR,2736.45
11550,COYOACAN CENTRO,3772.58
11551,VILLA COYOACAN,3400.64
11552,BARRIO DE SANTA CATARINA,3852.285
11553,BARRIO LA CONCEPCION,2869.29
11558,PARQUE SAN ANDRES,2391.07
11559,DEL CARMEN,2656.75
11560,AMPL DEL CARMEN,2656.75
11564,CHURUBUSCO,1421.36
11567,CAMPESTRE CHURUBUSCO,3081.83
11570,PRADO CHURUBUSCO,3081.83
11572,PASEOS DE TAXQUEÑA,1594.05
11575,SAN FRANCISCO CULHUACAN,1899.5749999999998
11584,ROMERO DE TERREROS,2045.6950000000002
11587,BARRIO OXTOPULCO,2151.965
11593,FRACC PEDREGAL DE SAN FRANCISCO,3719.45
11595,BARRIO CUADRANTE DE SAN FRANCISCO,2430.925
11605,PUEBLO DE LOS REYES,1514.345
11609,ROSEDAL,2391.07
11625,FRACC COPILCO UNIVERSIDAD,1381.51
11633,ATLANTIDA,3081.83
11637,PUEBLO LA CANDELARIA,1487.78
11642,EDUCACION,1195.54
11647,EL CENTINELA,1461.21
11648,AVANTE,1907.55
11650,PRESIDENTES EJIDALES,1328.37
11663,JARDINES DEL PEDREGAL DE SAN ANGEL,3453.77
11664,AMPL INSURGENTES CUICUILCO,2922.42
11670,SAN PABLO TEPETLAPA,797.02
11674,EL RELOJ,903.29
11681,FRACC JOYAS DEL PEDREGAL,2351.2200000000003
11683,DEL PEDREGAL,1168.97
11686,SANTA URSULA,1859.72
11690,CONJUNTO HAB PEDREGAL DE CARRASCO,1540.91
11691,OLIMPICA,1381.51
11694,BOSQUES DE TETLALMEYA,1594.05
11700,CEDROS,1859.72
11702,LOS PRADOS DE COYOACAN,876.73
11705,LOS CIPRESES,791.71
11708,BARRIO SAN LUCAS,1859.72
11710,FRACC LOS OLIVOS,1025.5
11711,LOS JARDINES DE COYOACAN,1487.78
11717,CANAL NACIONAL,929.86
11725,FRACC LAS CAMPANAS,1461.21
11726,LAS CAMPANAS,1461.21
11733,FRACC VILLA QUIETUD,1222.1
11735,VIEJO EJIDO SANTA URSULA COAPA,1168.97
11737,CUAJIMALPA,2391.07
11740,LOMAS DEL PADRE,1859.72
11743,SAN PABLO CHIMALPA,1328.37
11746,LOMAS DE VISTA HERMOSA,4000.0
